"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Czech Rep.","Romania","2003","170","170","170","170"
"Czech Rep.","Russian Federation","2003","242","242","242","242"
"Czech Rep.","Senegal","2003","2","2","2","2"
"Czech Rep.","Serbia (and Kosovo: S/RES/1244 (1999))","2003","73","73","73","73"
"Czech Rep.","Somalia","2003","1","1","1","1"
"Czech Rep.","South Africa","2003","3","3","3","3"
"Czech Rep.","Sri Lanka","2003","9","9","9","9"
"Czech Rep.","Stateless","2003","19","19","19","19"
"Czech Rep.","Sudan","2003","5","5","5","5"
"Czech Rep.","Syrian Arab Rep.","2003","14","14","14","14"
"Czech Rep.","The former Yugoslav Rep. of Macedonia","2003","3","3","3","3"
"Czech Rep.","Turkey","2003","14","14","14","14"
"Czech Rep.","Turkmenistan","2003","6","6","6","6"
"Czech Rep.","Ukraine","2003","34","34","34","34"
"Czech Rep.","Uzbekistan","2003","3","3","3","3"
"Czech Rep.","Various","2003","66","66","66","66"
"Czech Rep.","Viet Nam","2003","66","66","66","66"
"Dem. Rep. of the Congo","Angola","2003","123714","42742","123714","42742"
"Dem. Rep. of the Congo","Burundi","2003","19552","497","19552","497"
"Dem. Rep. of the Congo","Central African Rep.","2003","207","207","207","207"
"Dem. Rep. of the Congo","Congo","2003","6626","1215","6626","1215"
"Dem. Rep. of the Congo","Rwanda","2003","19743","406","19743","406"
"Dem. Rep. of the Congo","Sudan","2003","45060","10857","45060","10857"
"Dem. Rep. of the Congo","Uganda","2003","18953","","18953",""
"Dem. Rep. of the Congo","Various","2003","178","181","178","181"
"Denmark","Afghanistan","2003","6369","","6369",""
"Denmark","Albania","2003","11","","11",""
"Denmark","Algeria","2003","55","","55",""
"Denmark","Angola","2003","31","","31",""
"Denmark","Armenia","2003","315","","315",""
"Denmark","Azerbaijan","2003","84","","84",""
"Denmark","Bahrain","2003","10","","10",""
"Denmark","Bangladesh","2003","4","","4",""
"Denmark","Belarus","2003","34","","34",""
"Denmark","Benin","2003","2","","2",""
"Denmark","Bhutan","2003","5","","5",""
"Denmark","Bosnia and Herzegovina","2003","25395","","25395",""
"Denmark","Bulgaria","2003","7","","7",""
"Denmark","Burundi","2003","340","","340",""
"Denmark","Cambodia","2003","29","","29",""
"Denmark","Cameroon","2003","16","","16",""
"Denmark","Chad","2003","3","","3",""
"Denmark","Chile","2003","4","","4",""
"Denmark","China","2003","137","","137",""
"Denmark","Colombia","2003","8","","8",""
"Denmark","Congo","2003","95","","95",""
"Denmark","Côte d'Ivoire","2003","1","","1",""
"Denmark","Croatia","2003","95","","95",""
"Denmark","Cuba","2003","12","","12",""
"Denmark","Dem. People's Rep. of Korea","2003","7","","7",""
"Denmark","Dem. Rep. of the Congo","2003","149","","149",""
"Denmark","Djibouti","2003","2","","2",""
"Denmark","Egypt","2003","22","","22",""
"Denmark","Eritrea","2003","39","","39",""
"Denmark","Estonia","2003","1","","1",""
"Denmark","Ethiopia","2003","170","","170",""
"Denmark","Gambia","2003","2","","2",""
"Denmark","Georgia","2003","35","","35",""
"Denmark","Ghana","2003","1","","1",""
"Denmark","Guatemala","2003","5","","5",""
"Denmark","Guinea","2003","4","","4",""
"Denmark","India","2003","56","","56",""
"Denmark","Indonesia","2003","123","","123",""
"Denmark","Iraq","2003","11831","","11831",""
"Denmark","Islamic Rep. of Iran","2003","1691","","1691",""
"Denmark","Jordan","2003","42","","42",""
"Denmark","Kazakhstan","2003","9","","9",""
"Denmark","Kenya","2003","15","","15",""
"Denmark","Kuwait","2003","3","","3",""
"Denmark","Lebanon","2003","165","","165",""
"Denmark","Lesotho","2003","1","","1",""
"Denmark","Liberia","2003","19","","19",""
"Denmark","Libya","2003","36","","36",""
"Denmark","Malaysia","2003","1","","1",""
"Denmark","Mauritania","2003","6","","6",""
"Denmark","Mongolia","2003","4","","4",""
"Denmark","Morocco","2003","4","","4",""
"Denmark","Myanmar","2003","221","","221",""
"Denmark","Namibia","2003","7","","7",""
"Denmark","Nigeria","2003","10","","10",""
"Denmark","Norway","2003","1","","1",""
"Denmark","Pakistan","2003","44","","44",""
"Denmark","Peru","2003","13","","13",""
"Denmark","Philippines","2003","1","","1",""
"Denmark","Poland","2003","3","","3",""
"Denmark","Rep. of Moldova","2003","28","","28",""
"Denmark","Romania","2003","15","","15",""
"Denmark","Russian Federation","2003","304","","304",""
"Denmark","Rwanda","2003","186","","186",""
"Denmark","Serbia (and Kosovo: S/RES/1244 (1999))","2003","4672","","4672",""
"Denmark","Seychelles","2003","4","","4",""
"Denmark","Sierra Leone","2003","29","","29",""
"Denmark","Slovakia","2003","13","","13",""
"Denmark","Slovenia","2003","1","","1",""
"Denmark","Somalia","2003","8591","","8591",""
"Denmark","South Africa","2003","1","","1",""
"Denmark","Sri Lanka","2003","663","","663",""
"Denmark","State of Palestine","2003","1834","","1834",""
"Denmark","Stateless","2003","749","","749",""
"Denmark","Sudan","2003","290","","290",""
"Denmark","Syrian Arab Rep.","2003","172","","172",""
"Denmark","Tajikistan","2003","6","","6",""
"Denmark","Thailand","2003","1","","1",""
"Denmark","The former Yugoslav Rep. of Macedonia","2003","19","","19",""
"Denmark","Togo","2003","11","","11",""
"Denmark","Tunisia","2003","48","","48",""
"Denmark","Turkey","2003","53","","53",""
"Denmark","Uganda","2003","66","","66",""
"Denmark","Ukraine","2003","60","","60",""
"Denmark","United Rep. of Tanzania","2003","10","","10",""
"Denmark","United States","2003","3","","3",""
"Denmark","Uruguay","2003","1","","1",""
"Denmark","Uzbekistan","2003","20","","20",""
"Denmark","Various","2003","3921","","3921",""
"Denmark","Viet Nam","2003","273","","273",""
"Denmark","Yemen","2003","9","","9",""
"Djibouti","Eritrea","2003","6","6","6","6"
"Djibouti","Ethiopia","2003","1554","1205","1554","1205"
"Djibouti","Somalia","2003","25474","25447","25474","25447"
"Ecuador","Afghanistan","2003","29","29","29","29"
"Ecuador","Angola","2003","1","1","1","1"
"Ecuador","Bangladesh","2003","1","1","1","1"
"Ecuador","China","2003","2","2","2","2"
"Ecuador","Colombia","2003","6248","6245","6248","6245"
"Ecuador","Croatia","2003","1","1","1","1"
"Ecuador","Cuba","2003","8","8","8","8"
"Ecuador","Dem. Rep. of the Congo","2003","1","1","1","1"
"Ecuador","Ghana","2003","1","1","1","1"
"Ecuador","Guinea","2003","3","3","3","3"
"Ecuador","Haiti","2003","6","6","6","6"
"Ecuador","India","2003","1","1","1","1"
"Ecuador","Indonesia","2003","1","1","1","1"
"Ecuador","Iraq","2003","22","22","22","22"
"Ecuador","Islamic Rep. of Iran","2003","7","7","7","7"
"Ecuador","Lebanon","2003","1","1","1","1"
"Ecuador","Liberia","2003","1","1","1","1"
"Ecuador","Pakistan","2003","15","15","15","15"
"Ecuador","Peru","2003","5","5","5","5"
"Ecuador","Russian Federation","2003","7","7","7","7"
"Ecuador","Sierra Leone","2003","1","1","1","1"
"Ecuador","Somalia","2003","1","1","1","1"
"Ecuador","Sri Lanka","2003","3","3","3","3"
"Ecuador","State of Palestine","2003","1","1","1","1"
"Ecuador","Stateless","2003","4","4","4","4"
"Ecuador","Sudan","2003","1","1","1","1"
"Ecuador","Suriname","2003","1","1","1","1"
"Ecuador","Togo","2003","1","1","1","1"
"Ecuador","Turkey","2003","1","1","1","1"
"Ecuador","Ukraine","2003","2","2","2","2"
"Ecuador","Uzbekistan","2003","4","4","4","4"
"Egypt","Afghanistan","2003","35","35","35","35"
"Egypt","Algeria","2003","4","4","4","4"
"Egypt","Angola","2003","1","1","1","1"
"Egypt","Bosnia and Herzegovina","2003","3","3","3","3"
"Egypt","Burundi","2003","47","47","47","47"
"Egypt","Chad","2003","7","7","7","7"
"Egypt","Congo","2003","2","2","2","2"
"Egypt","Côte d'Ivoire","2003","67","67","67","67"
"Egypt","Dem. Rep. of the Congo","2003","8","8","8","8"
"Egypt","Djibouti","2003","7","7","7","7"
"Egypt","Eritrea","2003","98","98","98","98"
"Egypt","Ethiopia","2003","329","329","329","329"
"Egypt","Iraq","2003","33","33","33","33"
"Egypt","Islamic Rep. of Iran","2003","2","2","2","2"
"Egypt","Kuwait","2003","10","10","10","10"
"Egypt","Liberia","2003","25","25","25","25"
"Egypt","Libya","2003","4","4","4","4"
"Egypt","Russian Federation","2003","5","5","5","5"
"Egypt","Rwanda","2003","15","15","15","15"
"Egypt","Saudi Arabia","2003","2","2","2","2"
"Egypt","Serbia (and Kosovo: S/RES/1244 (1999))","2003","15","15","15","15"
"Egypt","Sierra Leone","2003","88","88","88","88"
"Egypt","Somalia","2003","3068","3068","3068","3068"
"Egypt","Sri Lanka","2003","2","2","2","2"
"Egypt","State of Palestine","2003","70215","215","70215","215"
"Egypt","Stateless","2003","125","125","125","125"
"Egypt","Sudan","2003","14178","14178","14178","14178"
"Egypt","Syrian Arab Rep.","2003","6","6","6","6"
"Egypt","Togo","2003","1","1","1","1"
"Egypt","Uganda","2003","3","3","3","3"
"Egypt","Yemen","2003","344","344","344","344"
"El Salvador","Colombia","2003","16","22","16","22"
"El Salvador","Nicaragua","2003","230","1","230","1"
"Eritrea","Ethiopia","2003","4","4","4","4"
"Eritrea","Somalia","2003","3261","3261","3261","3261"
"Eritrea","Sudan","2003","624","624","624","624"
"Estonia","Afghanistan","2003","6","","6",""
"Estonia","Algeria","2003","2","","2",""
"Estonia","Russian Federation","2003","1","","1",""
"Estonia","Turkey","2003","1","","1",""
"Estonia","Turkmenistan","2003","2","","2",""
"Ethiopia","Afghanistan","2003","3","3","3","3"
"Ethiopia","Angola","2003","4","4","4","4"
"Ethiopia","Burundi","2003","29","29","29","29"
"Ethiopia","China","2003","1","1","1","1"
"Ethiopia","Czech Rep.","2003","2","2","2","2"
"Ethiopia","Dem. Rep. of the Congo","2003","76","76","76","76"
"Ethiopia","Djibouti","2003","62","62","62","62"
"Ethiopia","Eritrea","2003","6754","6754","6754","6754"
"Ethiopia","Iraq","2003","6","6","6","6"
"Ethiopia","Kenya","2003","5","5","5","5"
"Ethiopia","Rwanda","2003","37","37","37","37"
"Ethiopia","Somalia","2003","28276","28276","28276","28276"
"Ethiopia","South Africa","2003","5","5","5","5"
"Ethiopia","Sudan","2003","94899","94899","94899","94899"
"Ethiopia","Uganda","2003","89","89","89","89"
"Ethiopia","Yemen","2003","26","26","26","26"
"Finland","Afghanistan","2003","1101","","1101",""
"Finland","Albania","2003","12","","12",""
"Finland","Algeria","2003","51","","51",""
"Finland","Angola","2003","126","","126",""
"Finland","Armenia","2003","10","","10",""
"Finland","Azerbaijan","2003","31","","31",""
"Finland","Bangladesh","2003","35","","35",""
"Finland","Belarus","2003","36","","36",""
"Finland","Bolivia (Plurinational State of)","2003","13","","13",""
"Finland","Bosnia and Herzegovina","2003","102","","102",""
"Finland","Bulgaria","2003","5","","5",""
"Finland","Burundi","2003","5","","5",""
"Finland","Cambodia","2003","4","","4",""
"Finland","Cameroon","2003","11","","11",""
"Finland","China","2003","30","","30",""
"Finland","Colombia","2003","12","","12",""
"Finland","Congo","2003","17","","17",""
"Finland","Côte d'Ivoire","2003","1","","1",""
"Finland","Croatia","2003","155","","155",""
"Finland","Cuba","2003","18","","18",""
"Finland","Czech Rep.","2003","2","","2",""
"Finland","Dem. Rep. of the Congo","2003","132","","132",""
"Finland","Egypt","2003","5","","5",""
"Finland","Eritrea","2003","48","","48",""
"Finland","Estonia","2003","2","","2",""
"Finland","Ethiopia","2003","42","","42",""
"Finland","Georgia","2003","12","","12",""
"Finland","Ghana","2003","18","","18",""
"Finland","Hungary","2003","5","","5",""
"Finland","India","2003","12","","12",""
"Finland","Indonesia","2003","1","","1",""
"Finland","Iraq","2003","1377","","1377",""
"Finland","Islamic Rep. of Iran","2003","1402","","1402",""
"Finland","Israel","2003","3","","3",""
"Finland","Jordan","2003","7","","7",""
"Finland","Kazakhstan","2003","19","","19",""
"Finland","Latvia","2003","2","","2",""
"Finland","Lebanon","2003","5","","5",""
"Finland","Liberia","2003","22","","22",""
"Finland","Libya","2003","23","","23",""
"Finland","Morocco","2003","6","","6",""
"Finland","Myanmar","2003","106","","106",""
"Finland","Namibia","2003","1","","1",""
"Finland","Nepal","2003","5","","5",""
"Finland","Nigeria","2003","17","","17",""
"Finland","Pakistan","2003","18","","18",""
"Finland","Peru","2003","4","","4",""
"Finland","Romania","2003","3","","3",""
"Finland","Russian Federation","2003","138","","138",""
"Finland","Rwanda","2003","25","","25",""
"Finland","Senegal","2003","2","","2",""
"Finland","Serbia (and Kosovo: S/RES/1244 (1999))","2003","1238","","1238",""
"Finland","Sierra Leone","2003","19","","19",""
"Finland","Slovakia","2003","15","","15",""
"Finland","Somalia","2003","946","","946",""
"Finland","Sri Lanka","2003","63","","63",""
"Finland","Stateless","2003","47","","47",""
"Finland","Sudan","2003","253","","253",""
"Finland","Syrian Arab Rep.","2003","34","","34",""
"Finland","Tajikistan","2003","13","","13",""
"Finland","The former Yugoslav Rep. of Macedonia","2003","12","","12",""
"Finland","Togo","2003","5","","5",""
"Finland","Turkey","2003","268","","268",""
"Finland","Turkmenistan","2003","4","","4",""
"Finland","Uganda","2003","9","","9",""
"Finland","Ukraine","2003","19","","19",""
"Finland","United Rep. of Tanzania","2003","2","","2",""
"Finland","Uzbekistan","2003","14","","14",""
"Finland","Various","2003","2641","","2641",""
"Finland","Viet Nam","2003","1","","1",""
"Finland","Yemen","2003","1","","1",""
"France","Afghanistan","2003","1167","","1167",""
"France","Albania","2003","835","","835",""
"France","Algeria","2003","726","","726",""
"France","Angola","2003","1836","","1836",""
"France","Armenia","2003","571","","571",""
"France","Azerbaijan","2003","460","","460",""
"France","Bangladesh","2003","837","","837",""
"France","Belarus","2003","152","","152",""
"France","Benin","2003","6","","6",""
"France","Bhutan","2003","17","","17",""
"France","Bolivia (Plurinational State of)","2003","25","","25",""
"France","Bosnia and Herzegovina","2003","1623","","1623",""
"France","Bulgaria","2003","80","","80",""
"France","Burkina Faso","2003","25","","25",""
"France","Burundi","2003","223","","223",""
"France","Cambodia","2003","14303","","14303",""
"France","Cameroon","2003","226","","226",""
"France","Central African Rep.","2003","309","","309",""
"France","Chad","2003","518","","518",""
"France","Chile","2003","80","","80",""
"France","China","2003","372","","372",""
"France","Colombia","2003","262","","262",""
"France","Comoros","2003","20","","20",""
"France","Congo","2003","1572","","1572",""
"France","Côte d'Ivoire","2003","317","","317",""
"France","Croatia","2003","58","","58",""
"France","Cuba","2003","87","","87",""
"France","Czech Rep.","2003","28","","28",""
"France","Dem. Rep. of the Congo","2003","6757","","6757",""
"France","Djibouti","2003","48","","48",""
"France","Ecuador","2003","31","","31",""
"France","Egypt","2003","67","","67",""
"France","El Salvador","2003","15","","15",""
"France","Equatorial Guinea","2003","25","","25",""
"France","Eritrea","2003","22","","22",""
"France","Estonia","2003","12","","12",""
"France","Ethiopia","2003","299","","299",""
"France","Gambia","2003","40","","40",""
"France","Georgia","2003","648","","648",""
"France","Germany","2003","10","","10",""
"France","Ghana","2003","684","","684",""
"France","Guatemala","2003","16","","16",""
"France","Guinea","2003","408","","408",""
"France","Guinea-Bissau","2003","831","","831",""
"France","Haiti","2003","1661","","1661",""
"France","Hungary","2003","63","","63",""
"France","India","2003","174","","174",""
"France","Iraq","2003","1409","","1409",""
"France","Islamic Rep. of Iran","2003","1659","","1659",""
"France","Jordan","2003","6","","6",""
"France","Kazakhstan","2003","132","","132",""
"France","Kenya","2003","11","","11",""
"France","Kyrgyzstan","2003","25","","25",""
"France","Lao People's Dem. Rep.","2003","7948","","7948",""
"France","Latvia","2003","41","","41",""
"France","Lebanon","2003","76","","76",""
"France","Liberia","2003","154","","154",""
"France","Libya","2003","9","","9",""
"France","Lithuania","2003","11","","11",""
"France","Madagascar","2003","59","","59",""
"France","Mali","2003","108","","108",""
"France","Mauritania","2003","2763","","2763",""
"France","Mongolia","2003","18","","18",""
"France","Morocco","2003","79","","79",""
"France","Mozambique","2003","13","","13",""
"France","Myanmar","2003","86","","86",""
"France","Nepal","2003","8","","8",""
"France","Niger","2003","8","","8",""
"France","Nigeria","2003","195","","195",""
"France","Pakistan","2003","169","","169",""
"France","Peru","2003","270","","270",""
"France","Poland","2003","198","","198",""
"France","Rep. of Moldova","2003","139","","139",""
"France","Romania","2003","199","","199",""
"France","Russian Federation","2003","2613","","2613",""
"France","Rwanda","2003","1410","","1410",""
"France","Senegal","2003","101","","101",""
"France","Serbia (and Kosovo: S/RES/1244 (1999))","2003","5642","","5642",""
"France","Seychelles","2003","6","","6",""
"France","Sierra Leone","2003","229","","229",""
"France","Slovakia","2003","84","","84",""
"France","Somalia","2003","543","","543",""
"France","South Africa","2003","16","","16",""
"France","Sri Lanka","2003","15062","","15062",""
"France","State of Palestine","2003","76","","76",""
"France","Stateless","2003","708","","708",""
"France","Sudan","2003","336","","336",""
"France","Syrian Arab Rep.","2003","191","","191",""
"France","Tajikistan","2003","13","","13",""
"France","The former Yugoslav Rep. of Macedonia","2003","84","","84",""
"France","Togo","2003","244","","244",""
"France","Tunisia","2003","318","","318",""
"France","Turkey","2003","8862","","8862",""
"France","Uganda","2003","29","","29",""
"France","Ukraine","2003","519","","519",""
"France","Uzbekistan","2003","56","","56",""
"France","Various","2003","30083","","30083",""
"France","Viet Nam","2003","9274","","9274",""
"Gabon","Angola","2003","132","132","132","132"
"Gabon","Burundi","2003","45","45","45","45"
"Gabon","Cameroon","2003","3","3","3","3"
"Gabon","Central African Rep.","2003","9","9","9","9"
"Gabon","Chad","2003","1312","1312","1312","1312"
"Gabon","Congo","2003","12122","12122","12122","12122"
"Gabon","Côte d'Ivoire","2003","2","2","2","2"
"Gabon","Dem. Rep. of the Congo","2003","72","72","72","72"
"Gabon","Equatorial Guinea","2003","80","80","80","80"
"Gabon","Ethiopia","2003","2","2","2","2"
"Gabon","Ghana","2003","1","1","1","1"
"Gabon","Guinea","2003","1","1","1","1"
"Gabon","Liberia","2003","10","10","10","10"
"Gabon","Mauritania","2003","30","30","30","30"
"Gabon","Niger","2003","1","1","1","1"
"Gabon","Rwanda","2003","104","104","104","104"
"Gabon","Sao Tome and Principe","2003","36","36","36","36"
"Gabon","Sierra Leone","2003","14","14","14","14"
"Gabon","Somalia","2003","1","1","1","1"
"Gabon","Sudan","2003","5","5","5","5"
"Gabon","Togo","2003","18","18","18","18"
"Gabon","United Rep. of Tanzania","2003","1","1","1","1"
"Gabon","Viet Nam","2003","4","4","4","4"
"Gambia","Côte d'Ivoire","2003","1","1","1","1"
"Gambia","Dem. Rep. of the Congo","2003","8","","8",""
"Gambia","Ethiopia","2003","1","1","1","1"
"Gambia","Guinea-Bissau","2003","1","","1",""
"Gambia","Liberia","2003","770","81","770","81"
"Gambia","Rwanda","2003","1","1","1","1"
"Gambia","Senegal","2003","548","548","548","548"
"Gambia","Sierra Leone","2003","6127","1024","6127","1024"
"Gambia","Somalia","2003","8","5","8","5"
"Georgia","Afghanistan","2003","4","","4",""
"Georgia","Azerbaijan","2003","11","","11",""
"Georgia","Islamic Rep. of Iran","2003","1","1","1","1"
"Georgia","Russian Federation","2003","3848","3846","3848","3846"
"Germany","Afghanistan","2003","46975","","46975",""
"Germany","Albania","2003","1929","","1929",""
"Germany","Algeria","2003","3727","","3727",""
"Germany","Andorra","2003","7","","7",""
"Germany","Angola","2003","3288","","3288",""
"Germany","Argentina","2003","53","","53",""
"Germany","Armenia","2003","4893","","4893",""
"Germany","Australia","2003","12","","12",""
"Germany","Austria","2003","53","","53",""
"Germany","Azerbaijan","2003","8330","","8330",""
"Germany","Bahrain","2003","6","","6",""
"Germany","Bangladesh","2003","577","","577",""
"Germany","Barbados","2003","2","","2",""
"Germany","Belarus","2003","2973","","2973",""
"Germany","Belgium","2003","16","","16",""
"Germany","Belize","2003","1","","1",""
"Germany","Benin","2003","215","","215",""
"Germany","Bhutan","2003","204","","204",""
"Germany","Bolivia (Plurinational State of)","2003","62","","62",""
"Germany","Bosnia and Herzegovina","2003","38688","","38688",""
"Germany","Botswana","2003","3","","3",""
"Germany","Brazil","2003","164","","164",""
"Germany","Bulgaria","2003","993","","993",""
"Germany","Burkina Faso","2003","710","","710",""
"Germany","Burundi","2003","283","","283",""
"Germany","Cabo Verde","2003","7","","7",""
"Germany","Cambodia","2003","248","","248",""
"Germany","Cameroon","2003","1742","","1742",""
"Germany","Canada","2003","43","","43",""
"Germany","Central African Rep.","2003","20","","20",""
"Germany","Chad","2003","49","","49",""
"Germany","Chile","2003","984","","984",""
"Germany","China","2003","6940","","6940",""
"Germany","Colombia","2003","214","","214",""
"Germany","Comoros","2003","6","","6",""
"Germany","Congo","2003","901","","901",""
"Germany","Costa Rica","2003","4","","4",""
"Germany","Côte d'Ivoire","2003","664","","664",""
"Germany","Croatia","2003","3812","","3812",""
"Germany","Cuba","2003","449","","449",""
"Germany","Cyprus","2003","3","","3",""
"Germany","Czech Rep.","2003","5640","","5640",""
"Germany","Dem. People's Rep. of Korea","2003","258","","258",""
"Germany","Dem. Rep. of the Congo","2003","7096","","7096",""
"Germany","Denmark","2003","5","","5",""
"Germany","Djibouti","2003","9","","9",""
"Germany","Dominican Rep.","2003","45","","45",""
"Germany","Ecuador","2003","100","","100",""
"Germany","Egypt","2003","1314","","1314",""
"Germany","El Salvador","2003","35","","35",""
"Germany","Equatorial Guinea","2003","57","","57",""
"Germany","Eritrea","2003","2754","","2754",""
"Germany","Estonia","2003","637","","637",""
"Germany","Ethiopia","2003","7966","","7966",""
"Germany","Fiji","2003","4","","4",""
"Germany","Finland","2003","6","","6",""
"Germany","France","2003","59","","59",""
"Germany","Gabon","2003","22","","22",""
"Germany","Gambia","2003","180","","180",""
"Germany","Georgia","2003","2701","","2701",""
"Germany","Ghana","2003","1435","","1435",""
"Germany","Greece","2003","214","","214",""
"Germany","Guatemala","2003","5","","5",""
"Germany","Guinea","2003","814","","814",""
"Germany","Guinea-Bissau","2003","59","","59",""
"Germany","Guyana","2003","1","","1",""
"Germany","Haiti","2003","15","","15",""
"Germany","Honduras","2003","14","","14",""
"Germany","Hungary","2003","2349","","2349",""
"Germany","Iceland","2003","11","","11",""
"Germany","India","2003","3158","","3158",""
"Germany","Indonesia","2003","83","","83",""
"Germany","Iraq","2003","73489","","73489",""
"Germany","Ireland","2003","6","","6",""
"Germany","Islamic Rep. of Iran","2003","47131","","47131",""
"Germany","Israel","2003","388","","388",""
"Germany","Italy","2003","179","","179",""
"Germany","Jamaica","2003","13","","13",""
"Germany","Japan","2003","12","","12",""
"Germany","Jordan","2003","575","","575",""
"Germany","Kazakhstan","2003","3706","","3706",""
"Germany","Kenya","2003","227","","227",""
"Germany","Kiribati","2003","1","","1",""
"Germany","Kuwait","2003","34","","34",""
"Germany","Kyrgyzstan","2003","2242","","2242",""
"Germany","Lao People's Dem. Rep.","2003","421","","421",""
"Germany","Latvia","2003","2451","","2451",""
"Germany","Lebanon","2003","18410","","18410",""
"Germany","Lesotho","2003","3","","3",""
"Germany","Liberia","2003","815","","815",""
"Germany","Libya","2003","535","","535",""
"Germany","Lithuania","2003","1282","","1282",""
"Germany","Madagascar","2003","7","","7",""
"Germany","Malawi","2003","11","","11",""
"Germany","Malaysia","2003","23","","23",""
"Germany","Mali","2003","164","","164",""
"Germany","Mauritania","2003","67","","67",""
"Germany","Mauritius","2003","7","","7",""
"Germany","Mexico","2003","11","","11",""
"Germany","Monaco","2003","1","","1",""
"Germany","Mongolia","2003","171","","171",""
"Germany","Morocco","2003","927","","927",""
"Germany","Mozambique","2003","74","","74",""
"Germany","Myanmar","2003","420","","420",""
"Germany","Namibia","2003","11","","11",""
"Germany","Nepal","2003","483","","483",""
"Germany","Netherlands","2003","38","","38",""
"Germany","New Zealand","2003","1","","1",""
"Germany","Nicaragua","2003","8","","8",""
"Germany","Niger","2003","396","","396",""
"Germany","Nigeria","2003","1509","","1509",""
"Germany","Norway","2003","4","","4",""
"Germany","Oman","2003","2","","2",""
"Germany","Pakistan","2003","9161","","9161",""
"Germany","Panama","2003","3","","3",""
"Germany","Papua New Guinea","2003","2","","2",""
"Germany","Paraguay","2003","15","","15",""
"Germany","Peru","2003","312","","312",""
"Germany","Philippines","2003","125","","125",""
"Germany","Poland","2003","13769","","13769",""
"Germany","Portugal","2003","44","","44",""
"Germany","Qatar","2003","9","","9",""
"Germany","Rep. of Korea","2003","144","","144",""
"Germany","Rep. of Moldova","2003","5641","","5641",""
"Germany","Romania","2003","4053","","4053",""
"Germany","Russian Federation","2003","45568","","45568",""
"Germany","Rwanda","2003","529","","529",""
"Germany","Sao Tome and Principe","2003","5","","5",""
"Germany","Saudi Arabia","2003","70","","70",""
"Germany","Senegal","2003","148","","148",""
"Germany","Serbia (and Kosovo: S/RES/1244 (1999))","2003","168980","","168980",""
"Germany","Seychelles","2003","2","","2",""
"Germany","Sierra Leone","2003","1836","","1836",""
"Germany","Singapore","2003","4","","4",""
"Germany","Slovakia","2003","386","","386",""
"Germany","Slovenia","2003","123","","123",""
"Germany","Somalia","2003","3693","","3693",""
"Germany","South Africa","2003","97","","97",""
"Germany","Spain","2003","40","","40",""
"Germany","Sri Lanka","2003","15121","","15121",""
"Germany","Stateless","2003","6461","","6461",""
"Germany","Sudan","2003","1312","","1312",""
"Germany","Swaziland","2003","2","","2",""
"Germany","Sweden","2003","19","","19",""
"Germany","Switzerland","2003","12","","12",""
"Germany","Syrian Arab Rep.","2003","15745","","15745",""
"Germany","Tajikistan","2003","248","","248",""
"Germany","Thailand","2003","220","","220",""
"Germany","The former Yugoslav Rep. of Macedonia","2003","3198","","3198",""
"Germany","Togo","2003","5778","","5778",""
"Germany","Tonga","2003","11","","11",""
"Germany","Trinidad and Tobago","2003","4","","4",""
"Germany","Tunisia","2003","1033","","1033",""
"Germany","Turkey","2003","140702","","140702",""
"Germany","Turkmenistan","2003","551","","551",""
"Germany","Uganda","2003","365","","365",""
"Germany","Ukraine","2003","57309","","57309",""
"Germany","United Arab Emirates","2003","6","","6",""
"Germany","United Kingdom","2003","47","","47",""
"Germany","United Rep. of Tanzania","2003","37","","37",""
"Germany","United States","2003","204","","204",""
"Germany","Uruguay","2003","9","","9",""
"Germany","Uzbekistan","2003","3229","","3229",""
"Germany","Various","2003","104531","","104531",""
"Germany","Venezuela (Bolivarian Republic of)","2003","31","","31",""
"Germany","Viet Nam","2003","25357","","25357",""
"Germany","Yemen","2003","494","","494",""
"Germany","Zambia","2003","11","","11",""
"Germany","Zimbabwe","2003","38","","38",""
"Ghana","Central African Rep.","2003","1","1","1","1"
"Ghana","Liberia","2003","42466","42466","42466","42466"
"Ghana","Sierra Leone","2003","943","943","943","943"
"Ghana","Sudan","2003","3","3","3","3"
"Ghana","Togo","2003","534","534","534","534"
"Greece","Afghanistan","2003","135","12","135","12"
"Greece","Albania","2003","14","","14",""
"Greece","Algeria","2003","8","","8",""
"Greece","Angola","2003","1","","1",""
"Greece","Azerbaijan","2003","6","","6",""
"Greece","Bangladesh","2003","14","","14",""
"Greece","Burundi","2003","21","1","21","1"
"Greece","Cambodia","2003","1","","1",""
"Greece","Cameroon","2003","4","","4",""
"Greece","Central African Rep.","2003","2","","2",""
"Greece","Chad","2003","4","","4",""
"Greece","China","2003","7","","7",""
"Greece","Congo","2003","5","","5",""
"Greece","Côte d'Ivoire","2003","1","","1",""
"Greece","Croatia","2003","1","","1",""
"Greece","Dem. Rep. of the Congo","2003","23","3","23","3"
"Greece","Egypt","2003","2","","2",""
"Greece","Eritrea","2003","2","","2",""
"Greece","Ethiopia","2003","24","3","24","3"
"Greece","Ghana","2003","6","","6",""
"Greece","Guinea-Bissau","2003","1","","1",""
"Greece","India","2003","6","","6",""
"Greece","Iraq","2003","951","46","951","46"
"Greece","Islamic Rep. of Iran","2003","392","15","392","15"
